año,mes,codigo_linea,linea,viajeros_total,creditrans,gizatrans,gazte_70,goro,ocasional,familia_numerosa,menores_6,empresa,fecha,flag_covid,flag_subsidio
2021,9,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4036.0,2388.0,922.0,165.0,77.0,184.0,0.0,74.0,123.0,2021-09-01,1,0
2021,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4538.0,2451.0,1115.0,215.0,136.0,231.0,0.0,69.0,197.0,2021-10-01,1,0
2021,11,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4133.0,2235.0,941.0,254.0,133.0,215.0,0.0,72.0,187.0,2021-11-01,1,0
2021,12,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4105.0,2289.0,947.0,221.0,108.0,228.0,0.0,67.0,146.0,2021-12-01,1,0
2022,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3838.0,2158.0,890.0,209.0,100.0,192.0,1.0,47.0,131.0,2022-01-01,0,0
2022,2,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4357.0,2480.0,906.0,241.0,129.0,197.0,0.0,61.0,190.0,2022-02-01,0,0
2022,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4449.0,2510.0,1006.0,187.0,176.0,211.0,1.0,41.0,152.0,2022-03-01,0,0
2022,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3893.0,2120.0,952.0,122.0,111.0,235.0,0.0,80.0,160.0,2022-04-01,0,0
2022,5,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4516.0,2557.0,1061.0,157.0,109.0,235.0,0.0,106.0,162.0,2022-05-01,0,0
2022,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4944.0,2891.0,1149.0,140.0,103.0,272.0,0.0,82.0,162.0,2022-06-01,0,0
2022,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4571.0,2785.0,982.0,92.0,67.0,331.0,0.0,115.0,111.0,2022-07-01,0,0
2022,8,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4346.0,2625.0,972.0,45.0,57.0,273.0,0.0,134.0,158.0,2022-08-01,0,0
2022,9,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4301.0,2707.0,942.0,131.0,86.0,161.0,1.0,101.0,97.0,2022-09-01,0,1
2022,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4869.0,2971.0,1118.0,147.0,139.0,164.0,1.0,100.0,137.0,2022-10-01,0,1
2022,11,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4879.0,2916.0,1130.0,155.0,162.0,164.0,1.0,100.0,137.0,2022-11-01,0,1
2022,12,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4818.0,2963.0,1056.0,152.0,124.0,140.0,0.0,104.0,188.0,2022-12-01,0,1
2023,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4492.0,2749.0,1040.0,163.0,144.0,110.0,0.0,56.0,152.0,2023-01-01,0,1
2023,2,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4503.0,2778.0,1014.0,171.0,91.0,111.0,0.0,74.0,135.0,2023-02-01,0,1
2023,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),5155.0,3143.0,1190.0,178.0,120.0,125.0,0.0,87.0,173.0,2023-03-01,0,1
2023,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4677.0,2796.0,1136.0,146.0,95.0,134.0,0.0,102.0,173.0,2023-04-01,0,1
2023,5,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),5380.0,3349.0,1263.0,149.0,115.0,139.0,0.0,117.0,143.0,2023-05-01,0,1
2023,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),5845.0,3605.0,1360.0,158.0,126.0,148.0,0.0,164.0,157.0,2023-06-01,0,1
2023,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),5531.0,3546.0,1181.0,86.0,75.0,201.0,0.0,188.0,149.0,2023-07-01,0,1
2023,8,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4892.0,2995.0,1153.0,64.0,84.0,173.0,0.0,221.0,126.0,2023-08-01,0,1
2023,9,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6429.0,4182.0,1284.0,152.0,129.0,187.0,0.0,167.0,145.0,2023-09-01,0,1
2023,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6837.0,4317.0,1385.0,258.0,175.0,159.0,0.0,155.0,154.0,2023-10-01,0,1
2023,11,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7048.0,4332.0,1434.0,357.0,191.0,165.0,0.0,153.0,212.0,2023-11-01,0,1
2023,12,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6078.0,3683.0,1403.0,206.0,139.0,207.0,0.0,121.0,187.0,2023-12-01,0,1
2024,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6.303,3582.0,1382.0,148.0,190.0,209.0,0.0,106.0,211.0,2024-01-01,0,1
2024,2,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6060.0,3462.0,1343.0,145.0,146.0,205.0,0.0,91.0,189.0,2024-02-01,0,1
2024,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6527.0,3362.0,1420.0,215.0,164.0,208.0,0.0,166.0,200.0,2024-03-01,0,1
2024,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7128.0,3784.0,1500.0,273.0,201.0,154.0,0.0,149.0,265.0,2024-04-01,0,1
2024,5,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7826.0,4091.0,1674.0,251.0,214.0,159.0,0.0,144.0,307.0,2024-05-01,0,1
2024,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7877.0,4262.0,1593.0,156.0,237.0,196.0,1.0,198.0,172.0,2024-06-01,0,1
2024,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6874.0,3554.0,1466.0,137.0,233.0,143.0,0.0,172.0,105.0,2024-07-01,0,1
2024,8,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),6344.0,3310.0,1384.0,59.0,210.0,163.0,0.0,230.0,162.0,2024-08-01,0,1
2024,9,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7575.0,3926.0,1563.0,241.0,260.0,166.0,0.0,183.0,155.0,2024-09-01,0,1
2024,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7816.0,3951.0,1575.0,237.0,348.0,208.0,0.0,186.0,133.0,2024-10-01,0,1
2024,11,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),7325.0,3613.0,1539.0,240.0,310.0,136.0,0.0,164.0,160.0,2024-11-01,0,1
