año,codigo_linea,linea,expediciones_anuales,dias_servicio
2022,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),29020,909
2022,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),27204,909
2022,A3499,PLENTZIA - GORLIZ,88623,909
2022,A3512,BILBAO - LEKEITIO (Autopista),29796,909
2022,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,14952,909
2022,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,48394,904
2022,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,48932,909
2022,A3516,BILBAO - MUNGIA (Autopista),16803,643
2022,A3517,BILBAO - DERIO - MUNGIA,61600,909
2022,A3518,BILBAO -MUNGIA - BAKIO (Autopista),34163,909
2022,A3522,MUNGIA - DERIO - Gurutzeta/Cruces,20454,909
2022,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,14194,909
2022,A3524,BERMEO - BAKIO,6776,484
2022,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,6819,504
2022,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,18640,814
2022,A3527,BILBAO - MUNGIA - BERMEO (Autopista),45669,885
2022,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,6372,504
2022,A3529,MUNGIA - GAMIZ FIKA,6000,750
2022,A3530,MUNGIA - MEÃAKA - ARRIETA,6000,750
2022,A3531,LEIOA - Hospital Urduliz Ospitalea - GATIKA - MUNGIA,24397,909
2022,A3532,GERNIKA LUMO - NABARNIZ,3779,623
2022,A3533,GERNIKA LUMO - MENDATA,3738,623
2022,A3534,GERNIKA LUMO - ERRIGOITI,3738,623
2022,A3535,LEKEITIO - AMOROTO,4984,623
2022,A3536,LEKEITIO - MENDEXA,5278,665
2022,A3537,PLENTZIA - GORLIZ - MUNGIA,23643,909
2022,A3538,LEKEITIO-Barainka,2492,623
2022,A3613,BILBAO - UGAO MIRABALLES - OROZKO,52275,909
2022,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,28859,750
2022,A3631,BILBAO - GALDAKAO - LARRABETZU,77872,909
2022,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),29595,909
2022,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,67145,909
2022,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),49962,750
2022,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,31256,904
2022,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,29721,909
2022,A3913,Arrazola - DURANGO,26338,904
2022,A3915,BILBAO - DURANGO - ONDARROA (Autopista),28009,909
2022,A3916,BILBAO - ERMUA - ONDARROA (Autopista),29468,909
2022,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,32801,909
2022,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,8722,623
2022,A3923,BILBAO - DURANGO - ELORRIO (Autopista),29147,909
2022,A3924,ERMUA - DURANGO - UPV/EHU,6372,504
2022,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,26858,909
