linea,fecha,año,mes,viajeros_pred_xgb
BILBAO - ERMUA - EIBAR (Autopista),2026-12-01,2026,12,45755.04296875
BILBAO - ERMUA - ONDARROA (Autopista),2026-01-01,2026,1,16431.275390625
BILBAO - ERMUA - ONDARROA (Autopista),2026-02-01,2026,2,38020.25390625
BILBAO - ERMUA - ONDARROA (Autopista),2026-03-01,2026,3,43208.51953125
BILBAO - ERMUA - ONDARROA (Autopista),2026-04-01,2026,4,45700.44921875
BILBAO - ERMUA - ONDARROA (Autopista),2026-05-01,2026,5,48778.39453125
BILBAO - ERMUA - ONDARROA (Autopista),2026-06-01,2026,6,47806.07421875
BILBAO - ERMUA - ONDARROA (Autopista),2026-07-01,2026,7,45801.16015625
BILBAO - ERMUA - ONDARROA (Autopista),2026-08-01,2026,8,42347.265625
BILBAO - ERMUA - ONDARROA (Autopista),2026-09-01,2026,9,48879.76171875
BILBAO - ERMUA - ONDARROA (Autopista),2026-10-01,2026,10,50003.26171875
BILBAO - ERMUA - ONDARROA (Autopista),2026-11-01,2026,11,47349.51953125
BILBAO - ERMUA - ONDARROA (Autopista),2026-12-01,2026,12,46377.8671875
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-01-01,2026,1,5667.263671875
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-02-01,2026,2,8488.1259765625
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-03-01,2026,3,8350.7236328125
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-04-01,2026,4,9437.5009765625
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-05-01,2026,5,9269.908203125
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-06-01,2026,6,8716.6953125
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-07-01,2026,7,7939.27490234375
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-08-01,2026,8,7197.48583984375
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-09-01,2026,9,9146.1953125
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-10-01,2026,10,9350.306640625
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-11-01,2026,11,9027.771484375
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-12-01,2026,12,10003.123046875
BILBAO - Erandiogoikoa - UPV/EHU,2026-01-01,2026,1,5016.07373046875
BILBAO - Erandiogoikoa - UPV/EHU,2026-02-01,2026,2,29708.564453125
BILBAO - Erandiogoikoa - UPV/EHU,2026-03-01,2026,3,29809.27734375
BILBAO - Erandiogoikoa - UPV/EHU,2026-04-01,2026,4,28858.951171875
BILBAO - Erandiogoikoa - UPV/EHU,2026-05-01,2026,5,27391.8203125
BILBAO - Erandiogoikoa - UPV/EHU,2026-06-01,2026,6,18627.775390625
BILBAO - Erandiogoikoa - UPV/EHU,2026-07-01,2026,7,9353.7431640625
BILBAO - Erandiogoikoa - UPV/EHU,2026-08-01,2026,8,120.27562713623047
BILBAO - Erandiogoikoa - UPV/EHU,2026-09-01,2026,9,32218.517578125
BILBAO - Erandiogoikoa - UPV/EHU,2026-10-01,2026,10,38974.81640625
BILBAO - Erandiogoikoa - UPV/EHU,2026-11-01,2026,11,35093.19921875
BILBAO - Erandiogoikoa - UPV/EHU,2026-12-01,2026,12,23241.201171875
BILBAO - GALDAKAO (Autopista),2026-01-01,2026,1,6107.7998046875
BILBAO - GALDAKAO (Autopista),2026-02-01,2026,2,27785.578125
BILBAO - GALDAKAO (Autopista),2026-03-01,2026,3,32054.798828125
BILBAO - GALDAKAO (Autopista),2026-04-01,2026,4,33523.94921875
BILBAO - GALDAKAO (Autopista),2026-05-01,2026,5,35831.140625
BILBAO - GALDAKAO (Autopista),2026-06-01,2026,6,32700.076171875
BILBAO - GALDAKAO (Autopista),2026-07-01,2026,7,30018.509765625
BILBAO - GALDAKAO (Autopista),2026-08-01,2026,8,11787.7177734375
BILBAO - GALDAKAO (Autopista),2026-09-01,2026,9,33177.109375
BILBAO - GALDAKAO (Autopista),2026-10-01,2026,10,39163.953125
BILBAO - GALDAKAO (Autopista),2026-11-01,2026,11,37982.0
BILBAO - GALDAKAO (Autopista),2026-12-01,2026,12,36109.55859375
BILBAO - GALDAKAO - LARRABETZU,2026-01-01,2026,1,22346.078125
BILBAO - GALDAKAO - LARRABETZU,2026-02-01,2026,2,34715.76171875
BILBAO - GALDAKAO - LARRABETZU,2026-03-01,2026,3,40685.60546875
BILBAO - GALDAKAO - LARRABETZU,2026-04-01,2026,4,43358.33984375
BILBAO - GALDAKAO - LARRABETZU,2026-05-01,2026,5,44023.1015625
