linea,fecha,año,mes,viajeros_pred
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-11-01,2026,11,10628.58458296213
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-12-01,2026,12,9728.887729167403
BILBAO - Erandiogoikoa - UPV/EHU,2026-01-01,2026,1,20310.934671276496
BILBAO - Erandiogoikoa - UPV/EHU,2026-02-01,2026,2,43487.47774920805
BILBAO - Erandiogoikoa - UPV/EHU,2026-03-01,2026,3,40103.79918801462
BILBAO - Erandiogoikoa - UPV/EHU,2026-04-01,2026,4,23047.79039362082
BILBAO - Erandiogoikoa - UPV/EHU,2026-05-01,2026,5,26638.93055605405
BILBAO - Erandiogoikoa - UPV/EHU,2026-06-01,2026,6,14404.760594544923
BILBAO - Erandiogoikoa - UPV/EHU,2026-07-01,2026,7,8266.295250858999
BILBAO - Erandiogoikoa - UPV/EHU,2026-08-01,2026,8,953.5689879892116
BILBAO - Erandiogoikoa - UPV/EHU,2026-09-01,2026,9,38010.81629938081
BILBAO - Erandiogoikoa - UPV/EHU,2026-10-01,2026,10,47456.68228224873
BILBAO - Erandiogoikoa - UPV/EHU,2026-11-01,2026,11,47067.55447421081
BILBAO - Erandiogoikoa - UPV/EHU,2026-12-01,2026,12,24598.333887878794
BILBAO - GALDAKAO (Autopista),2026-01-01,2026,1,31767.35182799583
BILBAO - GALDAKAO (Autopista),2026-02-01,2026,2,38658.07440076212
BILBAO - GALDAKAO (Autopista),2026-03-01,2026,3,44324.5926514403
BILBAO - GALDAKAO (Autopista),2026-04-01,2026,4,32636.78994567496
BILBAO - GALDAKAO (Autopista),2026-05-01,2026,5,38135.01018869744
BILBAO - GALDAKAO (Autopista),2026-06-01,2026,6,35972.00479422331
BILBAO - GALDAKAO (Autopista),2026-07-01,2026,7,28634.19227909858
BILBAO - GALDAKAO (Autopista),2026-08-01,2026,8,138.95952074327352
BILBAO - GALDAKAO (Autopista),2026-09-01,2026,9,37886.04042730449
BILBAO - GALDAKAO (Autopista),2026-10-01,2026,10,43649.00715469974
BILBAO - GALDAKAO (Autopista),2026-11-01,2026,11,45428.4004702342
BILBAO - GALDAKAO (Autopista),2026-12-01,2026,12,38675.72523082107
BILBAO - GALDAKAO - LARRABETZU,2026-01-01,2026,1,39126.13949802316
BILBAO - GALDAKAO - LARRABETZU,2026-02-01,2026,2,42686.64497295377
BILBAO - GALDAKAO - LARRABETZU,2026-03-01,2026,3,46938.59105495129
BILBAO - GALDAKAO - LARRABETZU,2026-04-01,2026,4,37571.33504002006
BILBAO - GALDAKAO - LARRABETZU,2026-05-01,2026,5,43888.966435967086
BILBAO - GALDAKAO - LARRABETZU,2026-06-01,2026,6,45863.20925832869
BILBAO - GALDAKAO - LARRABETZU,2026-07-01,2026,7,33020.49332783871
BILBAO - GALDAKAO - LARRABETZU,2026-08-01,2026,8,33108.6828728766
BILBAO - GALDAKAO - LARRABETZU,2026-09-01,2026,9,45745.41324803078
BILBAO - GALDAKAO - LARRABETZU,2026-10-01,2026,10,50901.41325517304
BILBAO - GALDAKAO - LARRABETZU,2026-11-01,2026,11,50388.72775332285
